Date,Open,High,Low,Close,Volume,AdjClose
2004-06-16,86.38,86.91,85.92,86.73,1647800,71.34
2004-06-15,85.15,86.49,84.90,86.16,1916600,70.87
2004-06-14,86.60,86.96,85.02,85.75,1917500,70.54
2004-06-11,87.52,87.52,86.51,87.04,753700,71.60
2004-06-10,87.09,87.54,86.55,87.34,1082900,71.84
2004-06-09,87.73,88.35,86.76,87.15,1846400,71.69
2004-06-08,88.00,88.18,86.65,87.67,2498800,72.12
2004-06-07,86.20,87.84,86.20,87.00,3494200,71.56
2004-06-04,83.58,85.45,83.47,84.92,2466700,69.85
2004-06-03,83.43,83.60,82.30,83.50,1989800,68.69
2004-06-02,84.30,84.50,83.10,83.58,2031000,68.75
2004-06-01,85.82,85.88,83.55,83.86,1916700,68.98
2004-05-31,84.79,86.09,84.79,85.83,275500,70.60
2004-05-28,86.45,86.75,84.52,85.40,2504400,70.25
2004-05-27,85.44,86.35,85.24,85.58,2505400,70.40
2004-05-26,85.92,85.92,84.82,84.96,2164100,69.89
2004-05-25,83.88,84.19,82.44,83.90,2227200,69.01
2004-05-24,84.74,85.78,84.31,84.42,1768000,69.44
2004-05-21,83.69,85.18,83.60,83.93,2983500,69.04
2004-05-20,82.57,83.90,82.30,83.50,1246400,68.69
2004-05-19,82.70,84.00,82.38,83.75,2696800,68.89
2004-05-18,81.58,82.74,80.13,81.35,2866900,66.92
2004-05-17,80.25,80.75,78.62,80.72,3452900,66.40
2004-05-14,83.21,84.12,80.65,81.90,3744000,67.37
2004-05-13,82.49,83.63,82.22,83.17,2923200,68.41
2004-05-12,84.12,84.50,81.35,81.99,3169300,67.44
2004-05-11,83.80,84.70,83.64,84.50,2152900,69.51
2004-05-10,84.90,84.90,82.66,83.12,3876600,68.37
2004-05-07,87.00,87.68,85.01,86.98,3202500,71.55
2004-05-06,89.71,90.26,86.52,87.22,3749100,71.75
2004-05-05,89.50,91.38,89.25,90.89,5303900,73.53
2004-05-04,88.01,88.73,86.63,87.66,1999500,70.92
2004-05-03,87.45,88.32,87.24,88.25,1752000,71.39
2004-04-30,88.76,89.44,87.91,88.51,2108600,71.60
2004-04-29,89.90,89.93,87.93,89.25,4026800,72.20
2004-04-28,91.96,92.65,90.00,90.40,2982200,73.13
2004-04-27,92.18,92.49,91.26,92.05,1897300,74.47
2004-04-26,92.38,93.48,91.94,92.24,1894400,74.62
2004-04-23,93.30,93.84,92.30,92.50,2379300,74.83
2004-04-22,92.25,92.37,90.35,91.89,1951200,74.34
2004-04-21,92.00,92.68,91.32,91.63,2342700,74.13
2004-04-20,91.90,93.24,91.90,92.83,2037300,75.10
2004-04-19,92.02,92.30,90.17,91.38,2185100,73.93
2004-04-16,91.39,92.70,90.90,92.49,2079900,74.82
2004-04-15,92.75,93.65,91.32,91.80,1962600,74.27
2004-04-14,93.00,93.43,91.33,92.80,3364100,75.08
2004-04-13,93.50,95.15,93.25,94.35,2027600,76.33
2004-04-12,92.29,92.29,92.29,92.29,000,74.66
2004-04-09,92.29,92.29,92.29,92.29,000,74.66
2004-04-08,93.60,94.30,91.95,92.29,1714500,74.66
2004-04-07,93.90,94.68,92.43,92.43,1718400,74.78
2004-04-06,95.40,95.40,93.55,93.90,2623400,75.97
2004-04-05,94.20,95.25,93.83,94.42,2323000,76.39
2004-04-02,91.15,94.12,90.54,93.86,3651700,75.93
2004-04-01,89.11,91.13,88.31,91.02,3004000,73.64
